# Program:featureCounts v1.5.3; Command:"featureCounts" "-Q" "10" "-T" "3" "-a" "/home/hub/genomes/Hsapiens/Homo_sapiens.GRCh38.90.chr1.gtf" "-o" "/home/hub/RNA_Practical/aligned/counts/counts.out" "/home/hub/RNA_Practical/aligned/bam/sampleB3.sorted.bam" "/home/hub/RNA_Practical/aligned/bam/sampleA3.sorted.bam" "/home/hub/RNA_Practical/aligned/bam/sampleB1.sorted.bam" "/home/hub/RNA_Practical/aligned/bam/sampleA2.sorted.bam" "/home/hub/RNA_Practical/aligned/bam/sampleA1.sorted.bam" "/home/hub/RNA_Practical/aligned/bam/sampleB2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/hub/RNA_Practical/aligned/bam/sampleB3.sorted.bam	/home/hub/RNA_Practical/aligned/bam/sampleA3.sorted.bam	/home/hub/RNA_Practical/aligned/bam/sampleB1.sorted.bam	/home/hub/RNA_Practical/aligned/bam/sampleA2.sorted.bam	/home/hub/RNA_Practical/aligned/bam/sampleA1.sorted.bam	/home/hub/RNA_Practical/aligned/bam/sampleB2.sorted.bam
ENSG00000284699	1;1;1;1	24704894;24705070;24713947;24717235	24704987;24705146;24714299;24717596	+;+;+;+	886	0	0	0	0	0	0
ENSG00000169504	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	24745357;24745382;24745382;24745409;24793177;24797742;24797742;24797742;24797742;24814094;24814094;24814094;24827010;24827010;24827010;24839860;24839860;24839860;24840773;24840773;24844129	24745625;24745625;24745625;24745625;24793213;24797963;24797851;24797851;24797851;24814219;24814219;24814219;24827116;24827116;24827116;24839907;24840041;24840041;24842587;24844324;24844267	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4495	3366	31411	4030	27402	84563	3584
ENSG00000238482	1	24777873	24777979	-	107	0	0	0	0	0	0
ENSG00000020633	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	24899511;24899518;24901029;24902572;24907259;24907259;24907259;24907259;24919240;24919240;24919240;24919240;24927574;24927574;24927574;24927574;24928743;24929587;24929587;24929587;24929737;24964514;24964514;24964514;24964836;24965020	24902666;24902666;24902666;24902666;24907417;24907417;24907417;24907417;24919344;24919344;24919344;24919344;24927730;24927730;24927730;24927730;24928798;24929852;24929877;24929852;24929852;24964579;24964668;24965010;24964984;24965121	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4523	1409	2763	2535	2013	2278	2773
ENSG00000278034	1	24919345	24919416	-	72	0	0	0	0	0	0
ENSG00000229162	1;1;1	24961345;24962047;24962975	24961846;24962241;24963097	+;+;+	820	12	8	15	23	18	5
ENSG00000261025	1	24968423	24970865	-	2443	0	0	0	0	0	0
ENSG00000264371	1	25023503	25023586	+	84	0	0	0	0	0	0
ENSG00000233755	1;1;1;1;1	25043707;25103853;25110458;25112879;25112879	25043836;25103971;25110829;25113119;25113120	-;-;-;-;-	863	0	0	0	0	0	0
ENSG00000233419	1	25125053	25125454	-	402	0	0	0	0	0	0
ENSG00000231953	1;1	25208139;25208534	25208222;25209437	+;+	988	0	0	0	0	0	0
ENSG00000117614	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	25222679;25222965;25225002;25225002;25227442;25227442;25228118;25228118;25228998;25229015;25230309;25232104;25232104;25232104;25232444;25232444;25232444	25223431;25223431;25225100;25225100;25227532;25227532;25228235;25228235;25229123;25229123;25232211;25232432;25232211;25232211;25232502;25232486;25232493	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3370	6798	7126	6073	5123	5585	4826
ENSG00000284602	1	25232586	25234775	+	2190	0	0	0	0	0	0
ENSG00000284657	1	25239494	25240253	+	760	0	0	0	0	0	0
ENSG00000117616	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	25242237;25242249;25242249;25242255;25242255;25242255;25242256;25242278;25242291;25242363;25242539;25242539;25242539;25242539;25243550;25243550;25243550;25243550;25243550;25243550;25243550;25243550;25243550;25243550;25244071;25244072;25244177;25244454;25244454;25244454;25244999;25245150;25245150;25245150;25245150;25245150;25245150;25245150;25245991;25246444;25246444;25246444;25246444;25246444;25246444;25246444;25246444;25246444;25246577;25246676;25246695;25247309;25247309;25247309;25247309;25247337;25253114;25267740;25267740;25304387;25304683;25304796;25306896;25318063;25335368;25335846;25337040;25337040;25337040;25337040;25337040;25337714;25337978;25338069	25242705;25242705;25242426;25242705;25242426;25242705;25242705;25242705;25242413;25242413;25242705;25242705;25242705;25242705;25243633;25243633;25244224;25243654;25244224;25243633;25243633;25244105;25245301;25243633;25244498;25245301;25245301;25244498;25244498;25244498;25245301;25245208;25245301;25245301;25245301;25245301;25245301;25245301;25246016;25246592;25247029;25246627;25247029;25246640;25247029;25246535;25247029;25247029;25247029;25247029;25247029;25247446;25247457;25247454;25247519;25247454;25253937;25267885;25267915;25304821;25304821;25304821;25306949;25318271;25335835;25336265;25337218;25337401;25337233;25337411;25338165;25338190;25338100;25338213	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6804	1008	5585	472	5072	4575	731
ENSG00000272432	1	25247837	25248321	+	485	0	0	0	0	0	0
ENSG00000261349	1;1	25266102;25266711	25266134;25267136	-;-	459	25	36	33	21	9	15
ENSG00000187010	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	25272393;25272393;25272486;25272498;25272548;25272548;25272548;25272548;25272548;25272548;25284573;25284573;25284573;25284573;25284573;25284573;25284573;25284573;25284573;25284573;25290641;25290641;25290641;25290641;25290641;25290641;25290641;25290641;25290641;25290641;25300946;25300946;25300946;25300946;25300946;25300946;25300946;25300946;25300946;25300946;25301520;25301520;25301520;25301520;25301520;25301520;25301520;25301520;25301520;25301520;25303322;25303322;25303322;25303322;25303322;25303322;25303322;25303322;25303322;25303322;25306596;25306596;25306596;25306596;25306596;25306596;25306596;25307647;25307647;25307647;25317000;25317000;25317000;25317000;25317000;25321889;25321889;25321889;25328898;25328898;25328898;25328898;25328898;25328898;25328898;25328898	25272695;25272695;25272695;25272695;25272695;25272695;25272695;25272695;25272695;25272695;25284759;25284759;25284759;25284759;25284759;25284759;25284759;25284759;25284759;25284759;25290791;25290791;25290791;25290791;25290791;25290791;25290791;25290791;25290791;25290791;25301093;25301093;25301093;25301093;25301093;25301093;25301093;25301093;25301093;25301093;25301686;25301686;25301686;25301686;25301686;25301686;25301686;25301686;25301686;25301686;25303459;25303459;25303459;25303459;25303459;25303459;25303459;25303459;25303459;25303459;25306729;25306729;25306729;25306729;25306729;25306729;25306942;25307816;25307816;25307816;25317079;25317079;25317079;25317079;25317079;25321900;25321962;25321962;25329211;25329211;25329211;25329211;25329211;25329211;25330445;25330445	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3313	29	35	69	115	73	32
ENSG00000224183	1	25294164	25294643	-	480	4	9	5	23	11	12
ENSG00000259984	1;1	25336429;25337040	25336461;25337465	-;-	459	0	0	0	0	0	0
ENSG00000183726	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	25337917;25338317;25338320;25338323;25338460;25340474;25340474;25340474;25340474;25342592;25342961;25342961;25342961;25351626;25351626;25351626;25351626;25351626;25351626;25352882;25352882;25352882;25352882;25356793;25356793;25356793;25356793;25356793;25360660;25360660;25360660;25360660	25338456;25338456;25338456;25338456;25338817;25340579;25340579;25340579;25340579;25343073;25343073;25343073;25343073;25351693;25351654;25351693;25351693;25351693;25351693;25352974;25352974;25352974;25352974;25356853;25356853;25356853;25356853;25356853;25361279;25361265;25360967;25362361	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3410	7184	13602	9307	7616	9919	12591
ENSG00000188672	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	25362249;25362308;25362312;25362359;25362363;25362431;25362523;25370467;25370467;25370467;25370467;25370467;25370467;25370467;25375349;25375349;25375349;25375349;25375349;25385498;25385711;25385711;25385711;25385711;25385711;25385711;25388976;25388976;25388976;25388976;25388976;25388976;25388976;25390749;25390749;25390749;25390749;25390749;25391994;25391994;25391994;25391994;25391994;25402596;25402596;25402596;25402596;25402596;25402596;25402596;25402596;25402596;25402596;25408683;25408683;25408683;25408683;25408683;25408683;25408683;25408683;25411340;25419755;25420639;25420639;25420639;25420639;25420639;25420639;25420639;25420639;25428953;25429940	25362553;25362553;25362553;25362553;25362553;25362553;25362553;25370540;25370540;25370540;25370540;25370540;25370540;25370540;25375428;25375428;25375428;25375428;25375428;25385844;25385844;25385844;25385844;25385844;25385844;25385844;25389113;25389113;25389113;25389113;25389113;25389113;25389113;25390915;25390915;25390915;25390915;25390915;25392141;25392141;25392141;25392141;25392141;25402746;25402746;25402746;25402746;25402746;25402746;25402702;25402746;25402746;25402746;25408869;25408869;25408869;25408869;25408869;25408869;25408869;25408869;25411478;25419798;25420796;25420848;25420941;25420806;25420805;25420792;25420795;25420845;25429049;25430192	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2433	36	34	22	18	15	21
ENSG00000238084	1	25398721	25399198	+	478	2	7	0	3	0	0
ENSG00000204178	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	25430858;25430920;25446762;25446762;25448808;25448808;25448893;25454259;25454259;25454259;25456653;25458391;25458391;25484116;25484116;25485613;25485613;25489173;25489173;25491410;25491410;25498264;25498264	25431178;25431178;25446903;25446903;25448934;25448934;25448934;25454382;25454382;25454382;25456831;25458783;25458892;25484274;25484274;25485795;25485795;25489293;25489293;25491584;25491584;25500209;25500205	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3979	3429	2342	3316	4258	3004	4861
ENSG00000157978	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	25543580;25549961;25553364;25553922;25553922;25554860;25554860;25554860;25554881;25557153;25557153;25557153;25562644;25562644;25562816;25563070;25563070;25563634;25563661;25563661;25563661;25564591;25565173;25565173;25565173;25565176;25566848;25566848;25566848;25566848;25566848	25543786;25550035;25554064;25554064;25554064;25554879;25554972;25554972;25554972;25557429;25557267;25557267;25562716;25562716;25563153;25563153;25563153;25563791;25563791;25565207;25563791;25564761;25565207;25565207;25565207;25565207;25567570;25567636;25567000;25568884;25568886	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5397	34584	2335	32468	3459	2150	33378
ENSG00000225643	1;1	25581478;25590169	25581772;25590356	+;+	483	0	0	0	0	0	0
ENSG00000117643	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	25617468;25617468;25617850;25654242;25686440;25686440;25686440;25686502;25709602;25746668;25746668;25746668;25746668;25746668;25749255;25749255;25749255;25749255;25749255;25753484;25753484;25753484;25753484;25753484;25758592;25758592;25758592;25758592;25758592;25763638;25763874;25763874;25763874;25763874;25771657;25771657;25771657;25771657;25772069;25775932;25777589;25778105;25778105;25778105;25778105;25778105;25778105;25780714;25780940;25780940;25780940;25780940;25780940;25781251;25782585;25782585;25782585;25782585;25782585;25782585;25782585;25783663;25783663;25783663;25783663;25783663;25783663	25618337;25618337;25618337;25654366;25686536;25686536;25686536;25686536;25710145;25746783;25746783;25746783;25746783;25746783;25749335;25749335;25749335;25749335;25749335;25753578;25753578;25753578;25753578;25753578;25758709;25761684;25758709;25758713;25758709;25763639;25763967;25763967;25763967;25763967;25771772;25771772;25771772;25771772;25772403;25776029;25777658;25778324;25778324;25778324;25778324;25778324;25778324;25781112;25781112;25781112;25781112;25781103;25781112;25781260;25782700;25782700;25782700;25782700;25782700;25782700;25782700;25784292;25783976;25784450;25784450;25786206;25786207	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9026	2798	2443	2491	2409	2315	1853
ENSG00000233478	1;1	25644544;25658765	25646420;25659111	-;-	2224	0	0	3	3	0	0
ENSG00000162430	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	25800176;25800176;25800193;25801043;25801043;25801043;25802016;25805142;25805142;25805142;25808580;25808580;25808580;25809026;25809026;25809026;25809683;25809683;25809683;25811454;25811454;25811454;25811691;25811691;25811691;25812686;25812687;25812687;25812687;25812728;25813575;25813631;25813881;25813881;25813881;25813881;25813881;25814077;25814077;25814077;25814077;25814077;25815548;25815548;25815548;25815548;25815548	25800413;25800413;25800413;25801160;25801160;25801160;25802117;25805275;25805275;25805275;25808789;25808789;25808789;25809150;25809150;25809150;25809820;25809820;25809820;25811535;25811535;25811535;25811879;25811879;25811879;25812792;25812792;25812781;25812792;25812792;25813663;25813641;25813993;25813993;25813993;25813993;25813993;25814178;25814178;25814178;25814178;25814178;25818219;25815990;25818221;25818219;25818224	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4424	6753	8452	6365	10788	9078	5280
ENSG00000255054	1;1;1;1;1;1;1	25811470;25811691;25813973;25814077;25822996;25823019;25823644	25811535;25811879;25813993;25814178;25823308;25823128;25823744	+;+;+;+;+;+;+	792	0	0	0	0	0	0
ENSG00000228172	1;1;1;1;1;1;1;1;1	25816749;25816750;25817562;25817562;25818223;25818403;25818491;25819644;25819712	25816880;25816880;25817713;25817713;25818424;25818424;25820797;25819772;25819743	-;-;-;-;-;-;-;-;-	2793	15	1	72	49	22	43
ENSG00000117640	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	25818640;25819906;25819926;25819929;25819929;25819939;25819940;25819955;25819978;25819979;25819981;25819986;25820003;25820188;25820193;25820193;25820232;25820443;25820762;25820828;25821523;25822996;25822996;25823019;25823019;25823019;25823019;25823019;25823019;25823019;25823019;25823019;25823019;25823019;25823019;25823019;25823019;25823019;25823019;25823238;25823238;25823238;25823240;25823346;25823621;25823621;25823644;25823644;25823644;25823644;25823644;25823644;25823644;25823644;25823644;25823644;25823644;25823644;25823644;25823644;25823644;25823644;25823644;25823644;25823644;25825632;25826302;25826302;25826302;25826302;25826302;25826302;25826302;25826302;25826302;25826302;25826302;25826302;25826302;25826302;25826302;25826302;25826302;25826302;25826302;25826302;25826615;25826615;25826615;25826615;25826615;25826615;25826615;25826615;25826615;25826615;25826615;25826615;25826615;25826615;25826615;25826615;25826615;25826615;25829509;25829509;25829509;25829509;25829509;25829509;25829509;25829509;25829509;25829509;25829509;25829509;25829545;25829618;25829618;25829687;25831921;25831921;25831921;25831921;25831921;25831921;25831921;25831921;25831921	25818852;25820029;25820029;25820029;25820029;25820029;25820029;25820029;25820029;25820029;25820029;25820029;25820029;25820349;25820349;25820414;25820659;25820659;25820921;25821003;25823128;25823128;25823128;25823128;25823128;25823128;25823128;25823128;25823128;25823128;25823128;25823128;25823128;25823128;25823747;25823128;25823128;25823128;25823128;25823323;25823323;25823323;25823439;25823439;25823748;25823748;25823748;25823748;25823748;25823748;25823748;25823748;25823748;25823748;25823748;25823748;25823748;25823748;25823748;25823748;25823748;25823748;25823748;25823748;25823748;25826826;25826411;25826411;25826411;25826411;25826411;25826411;25826411;25826411;25826400;25826411;25826411;25826411;25826411;25826411;25826411;25826411;25826411;25826411;25826411;25826411;25826826;25826826;25826806;25826826;25826826;25826826;25826707;25826826;25826826;25826826;25826826;25826826;25826826;25826826;25826707;25826720;25826826;25826826;25829797;25829830;25829830;25829569;25829658;25829830;25829621;25829830;25829830;25829829;25829830;25829514;25829830;25829830;25829830;25829831;25832934;25832936;25832938;25832938;25832938;25832211;25832334;25832942;25832941	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5817	1269	2892	1312	2283	2224	1353
ENSG00000272478	1	25831913	25832134	-	222	0	0	0	0	0	0
ENSG00000127423	1;1;1;1;1;1;1;1;1	25831913;25834006;25834006;25835022;25837413;25837413;25837413;25859280;25859280	25832158;25834331;25835846;25835846;25837554;25837547;25837554;25859412;25859458	-;-;-;-;-;-;-;-;-	2408	34	162	20	131	66	4
ENSG00000236528	1;1	25859613;25862835	25859875;25863420	+;+	849	5	0	0	0	2	14
ENSG00000182749	1;1	25861210;25870609	25863861;25871253	-;-	3297	1203	918	1008	449	1811	577
ENSG00000207302	1	25877496	25877605	+	110	0	0	0	0	0	0
ENSG00000117632	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	25884181;25885440;25892514;25900102;25900118;25900568;25900595;25900741;25901407;25901491;25901491;25901491;25901491;25901491;25901491;25901612;25903641;25903641;25903641;25903641;25903641;25903641;25903641;25904664;25904664;25904664;25904664;25904664;25904664;25904664;25905049;25905144;25905852;25906389;25906389;25906389;25906788	25885869;25885869;25892607;25901087;25901087;25901087;25901087;25901087;25901682;25901682;25901682;25903813;25901682;25901682;25901682;25901682;25903813;25903813;25903813;25903813;25903813;25903813;25903813;25904738;25904738;25904738;25904738;25904738;25904738;25904738;25905128;25905489;25906153;25906417;25906466;25906466;25906991	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6261	7649	6133	5296	4327	4742	6600
ENSG00000229786	1	25887360	25887610	+	251	0	0	0	0	0	0
ENSG00000223624	1	25888970	25889109	+	140	0	0	0	0	0	0
ENSG00000283938	1	25906362	25906454	-	93	0	0	0	0	0	0
ENSG00000158006	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	25959767;25960770;25972558;25972558;25974480;25974480;25976682;25976682;25982364;25982364;25982364;25982365;25982404;25983946;25983946;25983946;25983946;25983946;25983956;25984002;25984460;25984460;25984460;25984460;25984460;25984460;25988231;25988231;25988231;25988231;25989448;25989448;25989448;25989448;25990727;25990727;25990727;25990727;25990727;25997448;25997448;25998025;25998025;25998025;25998025;25998025	25962083;25962083;25972712;25972712;25974650;25974650;25976773;25976773;25982477;25982477;25982477;25982477;25982477;25984109;25984087;25984087;25984087;25984087;25984102;25984087;25984528;25984528;25984528;25984528;25984528;25984528;25988327;25988327;25988327;25988327;25989601;25989601;25989601;25989601;25990863;25990863;25990863;25990921;25990863;25997621;25997621;25998055;25998117;25998056;25998044;25998157	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3835	5732	4339	5006	3427	4336	4096
ENSG00000207237	1	25964197	25964300	+	104	0	0	0	0	0	0
ENSG00000252190	1	26006006	26006130	+	125	0	0	0	0	0	0
ENSG00000252691	1	26006216	26006299	+	84	0	0	0	0	0	0
ENSG00000158008	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	26019884;26021780;26023189;26029193;26029193;26029193;26029600;26029600;26030476;26030476;26030476;26031132;26031132;26031132;26031460;26031460;26032130;26032396;26033229;26033696;26033696;26034836;26034836;26035165	26019944;26023425;26023425;26029286;26029286;26029286;26029707;26029707;26030595;26030595;26030595;26031555;26031264;26031264;26031566;26031547;26032485;26032485;26033315;26033856;26033856;26035004;26035004;26036464	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4537	83	15	29	27	18	5
ENSG00000158014	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	26037252;26038022;26039777;26039777;26041700;26041700;26042549;26042549;26043398;26043398;26043439;26044298;26044298;26044997;26044997;26044997;26045847;26045847	26039305;26039305;26039911;26039911;26041805;26041805;26042708;26042708;26043551;26043551;26043551;26044444;26044444;26045451;26045217;26045217;26046133;26046113	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3498	46	47	67	135	161	18
ENSG00000284309	1;1	26046665;26048644	26047149;26049099	+;+	941	0	0	0	0	0	0
ENSG00000158022	1;1;1;1;1;1;1;1;1;1;1;1	26051304;26053893;26057203;26057628;26058390;26060266;26061166;26061244;26066268;26066268;26067336;26067336	26051883;26053964;26057327;26057650;26058623;26060361;26061334;26061334;26066440;26066440;26068436;26067633	-;-;-;-;-;-;-;-;-;-;-;-	2573	92	51	112	138	15	63
ENSG00000175087	1;1;1;1;1;1;1;1;1;1;1;1;1	26111165;26111173;26111837;26111849;26112460;26114292;26114292;26114292;26114292;26121837;26121837;26121837;26121837	26111420;26111420;26111915;26111915;26112650;26114593;26114593;26114593;26114593;26124033;26122124;26125543;26125530	+;+;+;+;+;+;+;+;+;+;+;+;+	4535	1498	1457	2158	1079	1233	5198
ENSG00000197245	1;1	26159020;26161212	26159126;26163962	+;+	2858	260	310	259	183	405	227
ENSG00000282872	1;1;1;1;1;1;1	26164161;26165708;26165826;26166035;26166035;26168416;26168416	26164455;26165923;26165923;26166118;26166118;26168581;26168581	-;-;-;-;-;-;-	761	0	0	0	0	0	0
ENSG00000236782	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	26169516;26169947;26170180;26170194;26170325;26170538;26170538;26171156;26171156;26171156;26171156;26171617;26171617;26171617;26171770	26170598;26170350;26170350;26170598;26170598;26170598;26170813;26171335;26171335;26171373;26171335;26171689;26171665;26171821;26171821	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1721	1639	403	2232	372	429	2226
ENSG00000142684	1;1;1;1;1	26169871;26169942;26170418;26170418;26170575	26170183;26170183;26170873;26170480;26170873	+;+;+;+;+	769	165	45	181	28	32	213
